"MWG","NWG","KWG","MDIMC","NDIMC","MDIMA","NDIMB","KWI","VWM","VWN","STRM","STRN","SA","SB","Run"
64,64,16,8,8,8,8,2,1,1,0,0,1,1,192.38
64,64,16,8,8,8,8,2,1,1,0,1,1,1,148.815
64,64,16,8,8,8,8,2,1,1,1,0,1,1,197.0175
64,64,16,8,8,8,8,2,1,1,1,1,1,1,171.7825
64,64,16,8,8,8,8,2,1,2,0,0,1,1,160.2025
64,64,16,8,8,8,8,2,1,2,0,1,1,1,169.84
64,64,16,8,8,8,8,2,1,2,1,0,1,1,160.1475
64,64,16,8,8,8,8,2,1,2,1,1,1,1,207.2375
64,64,16,8,8,8,8,2,1,4,0,0,1,1,177.8625
64,64,16,8,8,8,8,2,1,4,0,1,1,1,211.5675
64,64,16,8,8,8,8,2,1,4,1,0,1,1,150.8075
64,64,16,8,8,8,8,2,1,4,1,1,1,1,211.53
64,64,16,8,8,8,8,2,1,8,0,0,1,1,204.4175
64,64,16,8,8,8,8,2,1,8,0,1,1,1,204.5375
64,64,16,8,8,8,8,2,1,8,1,0,1,1,200.4375
64,64,16,8,8,8,8,2,1,8,1,1,1,1,199.485
64,64,16,8,8,8,8,2,2,1,0,0,1,1,239.44
64,64,16,8,8,8,8,2,2,1,0,1,1,1,181.595
64,64,16,8,8,8,8,2,2,1,1,0,1,1,239.7575
64,64,16,8,8,8,8,2,2,1,1,1,1,1,178.59
64,64,16,8,8,8,8,2,2,2,0,0,1,1,180.255
64,64,16,8,8,8,8,2,2,2,0,1,1,1,173.4275
64,64,16,8,8,8,8,2,2,2,1,0,1,1,166.2275
64,64,16,8,8,8,8,2,2,2,1,1,1,1,169.825
64,64,16,8,8,8,8,2,2,4,0,0,1,1,157.86
64,64,16,8,8,8,8,2,2,4,0,1,1,1,178.2625
64,64,16,8,8,8,8,2,2,4,1,0,1,1,164.77
64,64,16,8,8,8,8,2,2,4,1,1,1,1,187.6575
64,64,16,8,8,8,8,2,2,8,0,0,1,1,148.5125
64,64,16,8,8,8,8,2,2,8,0,1,1,1,148.795
64,64,16,8,8,8,8,2,2,8,1,0,1,1,122.9525
64,64,16,8,8,8,8,2,2,8,1,1,1,1,123
64,64,16,8,8,8,8,2,4,1,0,0,1,1,149.6175
64,64,16,8,8,8,8,2,4,1,0,1,1,1,183.935
64,64,16,8,8,8,8,2,4,1,1,0,1,1,146.4425
64,64,16,8,8,8,8,2,4,1,1,1,1,1,179.6225
64,64,16,8,8,8,8,2,4,2,0,0,1,1,174.4775
64,64,16,8,8,8,8,2,4,2,0,1,1,1,189.78
64,64,16,8,8,8,8,2,4,2,1,0,1,1,174.635
64,64,16,8,8,8,8,2,4,2,1,1,1,1,188.8175
64,64,16,8,8,8,8,2,4,4,0,0,1,1,202.895
64,64,16,8,8,8,8,2,4,4,0,1,1,1,203.6525
64,64,16,8,8,8,8,2,4,4,1,0,1,1,162.9625
64,64,16,8,8,8,8,2,4,4,1,1,1,1,202.9025
64,64,16,8,8,8,8,2,4,8,0,0,1,1,154.8725
64,64,16,8,8,8,8,2,4,8,0,1,1,1,155.4825
64,64,16,8,8,8,8,2,4,8,1,0,1,1,151.8925
64,64,16,8,8,8,8,2,4,8,1,1,1,1,152.445
64,64,16,8,8,8,8,2,8,1,0,0,1,1,161.9575
64,64,16,8,8,8,8,2,8,1,0,1,1,1,183.56
64,64,16,8,8,8,8,2,8,1,1,0,1,1,162.3425
64,64,16,8,8,8,8,2,8,1,1,1,1,1,183.9125
64,64,16,8,8,8,8,2,8,2,0,0,1,1,169.0475
64,64,16,8,8,8,8,2,8,2,0,1,1,1,161.0125
64,64,16,8,8,8,8,2,8,2,1,0,1,1,169.4475
64,64,16,8,8,8,8,2,8,2,1,1,1,1,160.765
64,64,16,8,8,8,8,2,8,4,0,0,1,1,168.165
64,64,16,8,8,8,8,2,8,4,0,1,1,1,163.79
64,64,16,8,8,8,8,2,8,4,1,0,1,1,168.085
64,64,16,8,8,8,8,2,8,4,1,1,1,1,163.795
64,64,16,8,8,8,8,2,8,8,0,0,1,1,166.34
64,64,16,8,8,8,8,2,8,8,0,1,1,1,165.855
64,64,16,8,8,8,8,2,8,8,1,0,1,1,166.65
64,64,16,8,8,8,8,2,8,8,1,1,1,1,166.4275
64,64,16,8,8,8,8,8,1,1,0,0,1,1,195.9575
64,64,16,8,8,8,8,8,1,1,0,1,1,1,164.675
64,64,16,8,8,8,8,8,1,1,1,0,1,1,211.0025
64,64,16,8,8,8,8,8,1,1,1,1,1,1,162.18
64,64,16,8,8,8,8,8,1,2,0,0,1,1,160.745
64,64,16,8,8,8,8,8,1,2,0,1,1,1,176.25
64,64,16,8,8,8,8,8,1,2,1,0,1,1,179.3625
64,64,16,8,8,8,8,8,1,2,1,1,1,1,187.7
64,64,16,8,8,8,8,8,1,4,0,0,1,1,151.4975
64,64,16,8,8,8,8,8,1,4,0,1,1,1,158.3975
64,64,16,8,8,8,8,8,1,4,1,0,1,1,175.9125
64,64,16,8,8,8,8,8,1,4,1,1,1,1,199.375
64,64,16,8,8,8,8,8,1,8,0,0,1,1,176.035
64,64,16,8,8,8,8,8,1,8,0,1,1,1,176.075
64,64,16,8,8,8,8,8,1,8,1,0,1,1,160.435
